epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,8068.84,0.90549,0.94062,1.27882,0.72568,0.6701,0.73476,0.54381,0.95285,0.90016,1.31854,0.003367,0.003367,0.003367
69,8189.72,0.89178,0.93304,1.26802,0.75774,0.66378,0.73635,0.54519,0.9511,0.8892,1.30359,0.003268,0.003268,0.003268
70,8309.39,0.9086,0.93576,1.28244,0.73749,0.67664,0.75079,0.55736,0.92056,0.86447,1.29151,0.003169,0.003169,0.003169
71,8430.6,0.89378,0.91944,1.27502,0.75382,0.66401,0.73991,0.54496,0.94593,0.86309,1.29918,0.00307,0.00307,0.00307
72,8554.64,0.89594,0.92769,1.27846,0.76138,0.68022,0.75029,0.55372,0.94237,0.88031,1.29897,0.002971,0.002971,0.002971
73,8676.2,0.87527,0.90558,1.26198,0.73725,0.69878,0.75456,0.55899,0.91516,0.85048,1.28989,0.002872,0.002872,0.002872
74,8797.34,0.88491,0.88866,1.26599,0.72739,0.713,0.75121,0.55543,0.92178,0.83727,1.28999,0.002773,0.002773,0.002773
75,8919.49,0.86583,0.8887,1.24985,0.77194,0.6999,0.75511,0.55613,0.93594,0.85465,1.3023,0.002674,0.002674,0.002674
76,9039.92,0.86722,0.87355,1.25874,0.72775,0.73077,0.76462,0.56201,0.94848,0.82136,1.31044,0.002575,0.002575,0.002575
77,9163.46,0.86645,0.87143,1.25492,0.80052,0.70096,0.76318,0.57096,0.92153,0.83712,1.29377,0.002476,0.002476,0.002476
78,9284.58,0.8657,0.87945,1.2501,0.73957,0.71867,0.76087,0.56865,0.90687,0.80313,1.28114,0.002377,0.002377,0.002377
79,9406.65,0.86434,0.85957,1.25545,0.80734,0.65894,0.75664,0.5719,0.91065,0.81378,1.28348,0.002278,0.002278,0.002278
80,9527.61,0.83913,0.83868,1.23541,0.77524,0.70086,0.77471,0.58372,0.90432,0.81396,1.27626,0.002179,0.002179,0.002179
81,9649.6,0.8547,0.84293,1.24374,0.77551,0.70495,0.77032,0.58048,0.88593,0.8154,1.26515,0.00208,0.00208,0.00208
82,9770.37,0.85153,0.8337,1.23864,0.77207,0.70689,0.77151,0.58111,0.89272,0.81241,1.26688,0.001981,0.001981,0.001981
83,9890.94,0.84185,0.82512,1.23278,0.76134,0.73485,0.77309,0.58455,0.89272,0.81493,1.26895,0.001882,0.001882,0.001882
84,10011.6,0.83178,0.81278,1.23006,0.81187,0.6879,0.78332,0.59301,0.87646,0.78912,1.25575,0.001783,0.001783,0.001783
85,10132.3,0.83535,0.80436,1.23391,0.77572,0.72493,0.78021,0.59155,0.89265,0.80377,1.26722,0.001684,0.001684,0.001684
86,10255.2,0.82912,0.80398,1.22361,0.784,0.73108,0.78856,0.5948,0.89823,0.77717,1.27694,0.001585,0.001585,0.001585
87,10375.4,0.83556,0.80082,1.22454,0.81032,0.71897,0.7902,0.60107,0.88297,0.78031,1.26091,0.001486,0.001486,0.001486
88,10496,0.82058,0.79206,1.21967,0.81267,0.71894,0.7888,0.59713,0.89145,0.77367,1.2629,0.001387,0.001387,0.001387
89,10615.2,0.82637,0.77973,1.22343,0.81783,0.71677,0.7907,0.59927,0.88594,0.77873,1.26185,0.001288,0.001288,0.001288
90,10736.2,0.82391,0.79007,1.22344,0.83373,0.69877,0.7915,0.60299,0.87998,0.76903,1.25565,0.001189,0.001189,0.001189
91,10857.2,0.68225,0.53811,1.18489,0.83736,0.68556,0.78945,0.60373,0.86797,0.7816,1.25118,0.00109,0.00109,0.00109
92,10974.2,0.67714,0.51276,1.1859,0.78163,0.73412,0.79601,0.60623,0.85945,0.76482,1.24181,0.000991,0.000991,0.000991
93,11090.9,0.67437,0.49558,1.17932,0.83519,0.72104,0.80285,0.60978,0.86728,0.74811,1.24893,0.000892,0.000892,0.000892
94,11206.5,0.66451,0.48507,1.17542,0.81486,0.72993,0.79679,0.60965,0.85934,0.75128,1.24435,0.000793,0.000793,0.000793
95,11322.6,0.66282,0.47191,1.1684,0.81204,0.71527,0.7895,0.60519,0.8597,0.75896,1.24154,0.000694,0.000694,0.000694
96,11439.4,0.64857,0.46345,1.15576,0.82408,0.73743,0.80401,0.61841,0.85053,0.7406,1.23576,0.000595,0.000595,0.000595
97,11554.2,0.64671,0.45709,1.16277,0.81065,0.73971,0.80333,0.6138,0.84709,0.74094,1.23248,0.000496,0.000496,0.000496
98,11669.8,0.64997,0.45872,1.16301,0.82573,0.73399,0.80365,0.61556,0.84776,0.73906,1.23402,0.000397,0.000397,0.000397
99,11786.4,0.64231,0.45402,1.15376,0.83732,0.74529,0.80947,0.62071,0.83766,0.73582,1.22716,0.000298,0.000298,0.000298
100,11902.2,0.64276,0.44843,1.15391,0.84656,0.73835,0.81195,0.62434,0.83626,0.73415,1.22615,0.000199,0.000199,0.000199
